playlist_id,track_ids
994,7539 9175 14774 20262 13384 18983 1329 16351 11088 16288
1534,19205 8297 2392 12173 15543 18026 16585 3963 3413 15312
1881,13402 2581 4346 8540 12668 3876 16433 4850 5193 1588
3334,6561 18409 11330 16140 18335 8050 20483 12342 10458 11740
4119,4526 1830 3535 5674 18547 19352 15864 15624 19091 4087
4735,9903 817 5859 8627 8643 4954 15750 15466 2980 4301
4774,19991 3001 6823 1290 16083 2980 13624 16433 9778 15750
5177,8033 19075 5881 2596 15949 13288 10013 387 333 19466
5235,17701 9710 6837 17918 1719 9291 16820 18875 12342 10112
5419,18763 8838 19652 18815 8885 2454 8487 15430 17897 19289
5818,10019 12919 14313 553 1329 11870 11211 18266 16274 14837
6578,10848 20172 8491 15771 11369 3830 16502 14008 5572 2272
6619,11715 2886 20359 3685 1192 4653 11157 6823 19929 3655
7332,19814 3903 17200 8356 15886 5186 8218 163 2682 10008
7509,13139 2674 9705 18381 13980 10264 15578 13237 6253 541
7783,5528 1676 1427 15090 8182 18492 12522 16379 11551 7062
8242,4476 7932 8074 6811 14354 4552 18478 2928 13244 2098
8884,442 14962 9223 12424 8473 6667 16731 12568 2404 12111
9083,1813 9175 19850 16351 11088 17357 11478 18017 14774 5540
9193,5147 7321 10742 830 5679 4704 16303 10346 4058 10855
9905,16486 1641 12436 16973 12311 17154 12393 20242 4826 5359
10561,16494 1951 15410 11400 20461 18876 11369 6971 11173 13435
10611,5700 15548 16664 18376 17748 10446 18798 1246 17383 5909
11279,18464 11702 172 16299 20607 20431 20244 4298 448 17353
11775,14604 3077 7430 19284 17709 6569 6899 16128 2085 18352
11875,2058 9996 663 14556 9246 17869 117 18953 9834 17414
11958,2132 17657 9804 2085 14509 15558 2090 13188 10977 14858
12953,1111 15578 1189 11943 10828 8866 4355 868 8145 4949
13804,152 18742 16493 7705 12568 19816 2052 18302 15840 16313
13945,18875 19217 15333 6242 18503 7394 12834 15413 17701 17918
14529,4566 8452 6918 2518 16494 10591 12622 13731 19071 11013
14571,6077 17276 13678 20260 10300 9490 5108 2997 7147 3880
15373,4603 9323 1442 1063 5092 13542 16451 8117 8749 8275
15935,1898 9229 15036 4023 7197 13862 19970 4745 3855 14902
16363,16866 20169 7545 4202 13550 4720 2336 4026 10269 15561
